phrase,audio,threshold,averaged_threshold,min_scores,filters,detected,hit_time_s,score,avg_score,run_ms
alexa,hey_google,0.35,0.15,6,bandpass,false,,,,134
alexa,hey_google,0.35,0.15,6,gain_bandpass,false,,,,133
alexa,hey_google,0.35,0.15,10,none,false,,,,143
alexa,hey_google,0.35,0.15,10,gain,false,,,,140
alexa,hey_google,0.35,0.15,10,bandpass,false,,,,156
alexa,hey_google,0.35,0.15,10,gain_bandpass,false,,,,136
alexa,hey_google,0.35,0.2,4,none,false,,,,135
alexa,hey_google,0.35,0.2,4,gain,false,,,,133
alexa,hey_google,0.35,0.2,4,bandpass,false,,,,147
alexa,hey_google,0.35,0.2,4,gain_bandpass,false,,,,137
alexa,hey_google,0.35,0.2,6,none,false,,,,127
alexa,hey_google,0.35,0.2,6,gain,false,,,,157
alexa,hey_google,0.35,0.2,6,bandpass,false,,,,161
alexa,hey_google,0.35,0.2,6,gain_bandpass,false,,,,134
alexa,hey_google,0.35,0.2,10,none,false,,,,139
alexa,hey_google,0.35,0.2,10,gain,false,,,,123
alexa,hey_google,0.35,0.2,10,bandpass,false,,,,145
alexa,hey_google,0.35,0.2,10,gain_bandpass,false,,,,149
alexa,hey_google,0.45,0.15,4,none,false,,,,141
alexa,hey_google,0.45,0.15,4,gain,false,,,,128
alexa,hey_google,0.45,0.15,4,bandpass,false,,,,170
alexa,hey_google,0.45,0.15,4,gain_bandpass,false,,,,136
alexa,hey_google,0.45,0.15,6,none,false,,,,143
alexa,hey_google,0.45,0.15,6,gain,false,,,,127
alexa,hey_google,0.45,0.15,6,bandpass,false,,,,150
alexa,hey_google,0.45,0.15,6,gain_bandpass,false,,,,131
alexa,hey_google,0.45,0.15,10,none,false,,,,140
alexa,hey_google,0.45,0.15,10,gain,false,,,,143
alexa,hey_google,0.45,0.15,10,bandpass,false,,,,134
alexa,hey_google,0.45,0.15,10,gain_bandpass,false,,,,132
alexa,hey_google,0.45,0.2,4,none,false,,,,174
alexa,hey_google,0.45,0.2,4,gain,false,,,,149
alexa,hey_google,0.45,0.2,4,bandpass,false,,,,173
alexa,hey_google,0.45,0.2,4,gain_bandpass,false,,,,131
alexa,hey_google,0.45,0.2,6,none,false,,,,132
alexa,hey_google,0.45,0.2,6,gain,false,,,,143
alexa,hey_google,0.45,0.2,6,bandpass,false,,,,137
alexa,hey_google,0.45,0.2,6,gain_bandpass,false,,,,146
alexa,hey_google,0.45,0.2,10,none,false,,,,150
alexa,hey_google,0.45,0.2,10,gain,false,,,,156
alexa,hey_google,0.45,0.2,10,bandpass,false,,,,138
alexa,hey_google,0.45,0.2,10,gain_bandpass,false,,,,135
alexa,hey_google,0.5,0.15,4,none,false,,,,122
alexa,hey_google,0.5,0.15,4,gain,false,,,,138
alexa,hey_google,0.5,0.15,4,bandpass,false,,,,150
alexa,hey_google,0.5,0.15,4,gain_bandpass,false,,,,138
alexa,hey_google,0.5,0.15,6,none,false,,,,119
alexa,hey_google,0.5,0.15,6,gain,false,,,,149
alexa,hey_google,0.5,0.15,6,bandpass,false,,,,156
alexa,hey_google,0.5,0.15,6,gain_bandpass,false,,,,173
alexa,hey_google,0.5,0.15,10,none,false,,,,158
alexa,hey_google,0.5,0.15,10,gain,false,,,,127
alexa,hey_google,0.5,0.15,10,bandpass,false,,,,134
alexa,hey_google,0.5,0.15,10,gain_bandpass,false,,,,136
alexa,hey_google,0.5,0.2,4,none,false,,,,133
alexa,hey_google,0.5,0.2,4,gain,false,,,,140
alexa,hey_google,0.5,0.2,4,bandpass,false,,,,143
alexa,hey_google,0.5,0.2,4,gain_bandpass,false,,,,129
alexa,hey_google,0.5,0.2,6,none,false,,,,124
alexa,hey_google,0.5,0.2,6,gain,false,,,,128
alexa,hey_google,0.5,0.2,6,bandpass,false,,,,134
alexa,hey_google,0.5,0.2,6,gain_bandpass,false,,,,126
alexa,hey_google,0.5,0.2,10,none,false,,,,134
alexa,hey_google,0.5,0.2,10,gain,false,,,,137
alexa,hey_google,0.5,0.2,10,bandpass,false,,,,143
alexa,hey_google,0.5,0.2,10,gain_bandpass,false,,,,138
alexa,hey_google,0.6,0.15,4,none,false,,,,154
alexa,hey_google,0.6,0.15,4,gain,false,,,,156
alexa,hey_google,0.6,0.15,4,bandpass,false,,,,167
alexa,hey_google,0.6,0.15,4,gain_bandpass,false,,,,155
alexa,hey_google,0.6,0.15,6,none,false,,,,151
alexa,hey_google,0.6,0.15,6,gain,false,,,,132
alexa,hey_google,0.6,0.15,6,bandpass,false,,,,139
alexa,hey_google,0.6,0.15,6,gain_bandpass,false,,,,151
alexa,hey_google,0.6,0.15,10,none,false,,,,152
alexa,hey_google,0.6,0.15,10,gain,false,,,,157
alexa,hey_google,0.6,0.15,10,bandpass,false,,,,146
alexa,hey_google,0.6,0.15,10,gain_bandpass,false,,,,170
alexa,hey_google,0.6,0.2,4,none,false,,,,168
alexa,hey_google,0.6,0.2,4,gain,false,,,,144
alexa,hey_google,0.6,0.2,4,bandpass,false,,,,154
alexa,hey_google,0.6,0.2,4,gain_bandpass,false,,,,167
alexa,hey_google,0.6,0.2,6,none,false,,,,169
alexa,hey_google,0.6,0.2,6,gain,false,,,,156
alexa,hey_google,0.6,0.2,6,bandpass,false,,,,172
alexa,hey_google,0.6,0.2,6,gain_bandpass,false,,,,182
alexa,hey_google,0.6,0.2,10,none,false,,,,170
alexa,hey_google,0.6,0.2,10,gain,false,,,,161
alexa,hey_google,0.6,0.2,10,bandpass,false,,,,173
